,Rewards,Epsilon over episodes,Timesteps per episode,Average score over 100 episodes
84,22.0,0.6689717585696803,22,19.41176470588235
85,14.0,0.6622820409839835,14,19.348837209302324
86,13.0,0.6556592205741436,13,19.275862068965516
87,18.0,0.6491026283684022,18,19.261363636363637
88,10.0,0.6426116020847181,10,19.15730337078652
89,14.0,0.6361854860638709,14,19.1
90,14.0,0.6298236312032323,14,19.043956043956044
91,11.0,0.6235253948912,11,18.956521739130434
92,8.0,0.617290140942288,8,18.838709677419356
93,12.0,0.6111172395328651,12,18.76595744680851
94,12.0,0.6050060671375365,12,18.694736842105264
95,9.0,0.5989560064661611,9,18.59375
96,9.0,0.5929664464014994,9,18.49484536082474
97,18.0,0.5870367819374844,18,18.489795918367346
98,11.0,0.5811664141181095,11,18.414141414141415
99,10.0,0.5753547499769285,10,18.33
100,11.0,0.5696012024771592,11,18.26
101,14.0,0.5639051904523876,14,18.12
102,12.0,0.5582661385478638,12,18.07
103,16.0,0.5526834771623851,16,17.54
104,11.0,0.5471566423907612,11,17.37
105,15.0,0.5416850759668536,15,17.26
106,11.0,0.536268225207185,11,17.09
107,18.0,0.5309055429551132,18,17.16
108,12.0,0.525596487525562,12,17.14
109,17.0,0.5203405226503064,17,17.1
110,10.0,0.5151371174238033,10,16.92
111,10.0,0.5099857462495653,10,16.92
112,10.0,0.5048858887870696,10,16.89
113,13.0,0.4998370298991989,13,16.9
114,14.0,0.49483865960020695,14,16.91
115,10.0,0.4898902730042049,10,16.9
116,14.0,0.48499137027416284,14,16.93
117,12.0,0.4801414565714212,12,16.85
118,14.0,0.475340042005707,14,16.79
119,16.0,0.47058664158564995,16,16.76
120,16.0,0.4658807751697934,16,16.74
121,11.0,0.4612219674180955,11,16.69
122,8.0,0.45660974774391455,8,16.46
123,10.0,0.4520436502664754,10,16.37
124,9.0,0.44752321376381066,9,16.06
125,15.0,0.44304798162617254,15,15.91
126,10.0,0.4386175018099108,10,15.77
127,13.0,0.4342313267918117,13,15.75
128,11.0,0.4298890135238936,11,15.6
129,13.0,0.42559012338865465,13,15.43
130,9.0,0.4213342221547681,9,15.34
131,10.0,0.41712087993322045,10,15.06
132,14.0,0.41294967113388825,14,15.06
133,9.0,0.40882017442254937,9,14.69
134,10.0,0.4047319726783239,10,14.52
135,9.0,0.40068465295154065,9,14.39
136,10.0,0.39667780642202527,10,14.26
137,13.0,0.392711028357805,13,14.19
138,10.0,0.38878391807422696,10,14.14
139,16.0,0.3848960788934847,16,14.14
140,12.0,0.38104711810454983,12,14.13
141,11.0,0.37723664692350434,11,13.94
142,14.0,0.37346428045426927,14,14.0
143,9.0,0.36972963764972655,9,13.97
144,11.0,0.36603234127322926,11,13.91
145,10.0,0.36237201786049694,10,13.64
146,13.0,0.358748297681892,13,13.63
147,10.0,0.35516081470507305,10,13.53
148,10.0,0.3516092065580223,10,13.38
149,11.0,0.34809311449244207,11,13.04
